client_id,family,n_purchases,first_purchase_date,last_purchase_date,days_since_last_purchase,mean_ipt,median_ipt,std_ipt,cv_ipt,total_units,total_value,avg_units_per_purchase,avg_value_per_purchase,units_3m,units_6m,usage_type,expected_next_purchase_date,expected_next_purchase_days,delay_days,volume_change_3m_vs_6m,anomaly_frequency_drop,anomaly_volume_drop,anomaly_total_disappearance,anomaly_significant_delay,total_anomalies,risk_level,priority,churn_probability
123,Familia T1,10,2021-02-12,2023-12-19,872,115.55555555555556,127.0,61.97510451985469,0.5363230198833578,14,8061.07,1.4,806.107,0,0,PUNTUAL,2024-04-12 13:20:00.000000,115.55555555555556,757,0.0,True,False,True,True,3,ROJO,1,0.625
163,Familia T1,2,2021-02-02,2021-07-22,1752,170.0,170.0,0.0,0.0,3,959.24,1.5,479.62,0,0,MIXTO,2022-01-08 00:00:00.000000,170.0,1582,0.0,True,False,True,True,3,ROJO,1,0.625
191,Familia T1,3,2021-03-19,2024-02-27,802,537.5,537.5,491.5,0.9144186046511628,4,1234.5900000000001,1.3333333333333333,411.53000000000003,0,0,PUNTUAL,2025-08-17 12:00:00.000000,537.5,265,0.0,False,False,False,False,0,AMARILLO,3,0.19684308263695452
191,Familia T2,2,2021-03-19,2024-02-27,802,1075.0,1075.0,0.0,0.0,2,997.55,1.0,498.775,0,0,PUNTUAL,2027-02-06 00:00:00.000000,1075.0,-273,0.0,False,False,False,False,0,VERDE,4,0.0
238,Familia T1,35,2021-01-15,2025-11-20,170,52.05882352941177,52.0,34.83992062568674,0.6692414131487847,198,45306.92999999999,5.6571428571428575,1294.483714285714,0,2,PUNTUAL,2026-01-11 01:24:42.352941,52.05882352941177,118,-99.999950000025,True,True,True,True,4,ROJO,1,0.99
238,Familia T2,72,2021-04-20,2025-11-20,170,23.591549295774648,12.0,30.92634478604018,1.3109077491396135,269,102150.26,3.736111111111111,1418.753611111111,0,2,PUNTUAL,2025-12-13 14:11:49.859155,23.591549295774648,147,-99.999950000025,True,True,True,True,4,ROJO,1,0.99
255,Familia T1,95,2021-02-12,2025-12-19,141,18.840425531914892,13.5,21.51115652720866,1.1417553436237233,236,60495.38999999999,2.4842105263157896,636.7935789473684,0,13,PUNTUAL,2026-01-06 20:10:12.765957,18.840425531914892,122,-99.9999923076929,True,True,True,True,4,ROJO,1,0.99
290,Familia T1,11,2023-04-06,2025-10-17,204,92.5,27.0,121.43249153336187,1.3127836922525606,11,5208.250000000001,1.0,473.4772727272728,0,0,PUNTUAL,2026-01-17 12:00:00.000000,92.5,112,0.0,True,False,False,False,1,AMARILLO,3,0.47500000000000003
290,Familia T2,4,2023-04-17,2024-05-15,724,131.33333333333334,92.0,73.25450308494503,0.557775404200089,4,2089.86,1.0,522.465,0,0,PUNTUAL,2024-09-23 08:00:00.000000,131.33333333333334,593,0.0,True,False,True,True,3,ROJO,1,0.625
317,Familia T1,9,2022-01-17,2025-03-03,432,142.625,19.5,202.32148767493777,1.4185555665201597,14,5876.77,1.5555555555555556,652.9744444444445,0,0,PUNTUAL,2025-07-23 15:00:00.000000,142.625,290,0.0,True,False,True,False,2,ROJO,1,0.55
317,Familia T2,4,2022-01-17,2024-04-15,754,273.0,189.0,233.0493509967363,0.8536606263616715,4,1731.8400000000001,1.0,432.96000000000004,0,0,PUNTUAL,2025-01-13 00:00:00.000000,273.0,481,0.0,True,False,True,True,3,ROJO,1,0.625
349,Familia T1,7,2021-05-12,2023-08-04,1009,135.66666666666666,0.0,253.50980695472558,1.868622655685938,10,3300.75,1.4285714285714286,471.5357142857143,0,0,PUNTUAL,2023-12-17 16:00:00.000000,135.66666666666666,873,0.0,True,False,True,True,3,ROJO,1,0.625
349,Familia T2,3,2021-05-13,2023-08-04,1009,406.5,406.5,287.5,0.7072570725707257,4,1765.68,1.3333333333333333,588.5600000000001,0,0,PUNTUAL,2024-09-13 12:00:00.000000,406.5,603,0.0,True,False,True,True,3,ROJO,1,0.625
356,Familia T1,11,2022-04-11,2025-09-17,234,125.5,101.5,125.55178214585406,1.000412606739873,28,6839.780000000001,2.5454545454545454,621.7981818181819,0,0,PUNTUAL,2026-01-20 12:00:00.000000,125.5,109,0.0,True,False,False,False,1,AMARILLO,3,0.4196640316205534
369,Familia T2,2,2021-06-03,2021-11-12,1639,162.0,162.0,0.0,0.0,3,1381.75,1.5,690.875,0,0,MIXTO,2022-04-23 00:00:00.000000,162.0,1477,0.0,True,False,True,True,3,ROJO,1,0.625
376,Familia T1,10,2021-02-17,2025-05-26,348,173.22222222222223,141.0,111.70972083214183,0.644892551308067,64,17749.47,6.4,1774.9470000000001,0,0,PUNTUAL,2025-11-15 05:20:00.000000,173.22222222222223,175,0.0,True,False,False,False,1,AMARILLO,3,0.47500000000000003
376,Familia T2,3,2021-07-20,2022-02-16,1543,105.5,105.5,35.5,0.33649289099526064,5,2134.95,1.6666666666666667,711.65,0,0,MIXTO,2022-06-01 12:00:00.000000,105.5,1438,0.0,True,False,True,True,3,ROJO,1,0.625
383,Familia T1,9,2021-02-19,2022-06-28,1411,61.75,47.5,38.08132744535043,0.6167016590340151,41,10283.19,4.555555555555555,1142.5766666666668,0,0,PUNTUAL,2022-08-28 18:00:00.000000,61.75,1349,0.0,True,False,True,True,3,ROJO,1,0.625
383,Familia T2,10,2021-03-17,2025-07-03,310,174.33333333333334,110.0,160.70953784873987,0.921852033549177,28,11580.99,2.8,1158.099,0,0,PUNTUAL,2025-12-24 08:00:00.000000,174.33333333333334,136,0.0,True,False,False,False,1,AMARILLO,3,0.3852661596958175
433,Familia T1,26,2021-01-19,2025-08-19,263,66.92,45.0,57.640902144223936,0.8613404384970702,58,17289.39,2.230769230769231,664.9765384615384,0,0,PUNTUAL,2025-10-24 22:04:48.000000,66.92,196,0.0,True,False,True,True,3,ROJO,1,0.625
433,Familia T2,22,2021-01-19,2025-08-19,263,79.66666666666667,68.0,63.312026491123305,0.79471162959569,42,18903.0,1.9090909090909092,859.2272727272727,0,0,PUNTUAL,2025-11-06 16:00:00.000000,79.66666666666667,183,0.0,True,False,True,True,3,ROJO,1,0.625
435,Familia T1,16,2021-05-06,2025-05-30,344,99.0,66.0,91.60422115455889,0.9252951631773625,32,10024.46,2.0,626.52875,0,0,PUNTUAL,2025-09-06 00:00:00.000000,99.0,245,0.0,True,False,True,True,3,ROJO,1,0.625
435,Familia T2,25,2021-05-06,2025-05-30,344,61.875,19.5,83.04432175049658,1.342130452533278,39,16690.18,1.56,667.6072,0,0,PUNTUAL,2025-07-30 21:00:00.000000,61.875,282,0.0,True,False,True,True,3,ROJO,1,0.625
477,Familia T1,3,2021-09-10,2024-09-17,599,551.5,551.5,281.5,0.5104261106074343,5,1809.2400000000002,1.6666666666666667,603.08,0,0,PUNTUAL,2026-03-22 12:00:00.000000,551.5,48,0.0,False,False,False,False,0,AMARILLO,3,0.03475113122171946
477,Familia T2,5,2021-12-14,2025-04-10,394,303.25,326.5,222.5178363637396,0.7337768717683086,6,2736.72,1.2,547.3439999999999,0,0,PUNTUAL,2026-02-07 06:00:00.000000,303.25,91,0.0,False,False,False,False,0,AMARILLO,3,0.11963845521774857
495,Familia T1,16,2021-01-04,2025-11-03,187,117.6,26.0,141.71370199572564,1.2050484863582114,23,6429.35,1.4375,401.834375,0,0,PUNTUAL,2026-02-28 14:24:00.000000,117.6,70,0.0,True,False,False,False,1,AMARILLO,3,0.3110876897133221
495,Familia T2,10,2021-01-05,2025-09-03,248,189.11111111111111,184.0,153.87761691569804,0.8136889261112117,18,7251.240000000001,1.8,725.124,0,0,PUNTUAL,2026-03-11 02:40:00.000000,189.11111111111111,59,0.0,False,False,False,False,0,AMARILLO,3,0.12413793103448277
542,Familia T2,2,2021-05-07,2021-07-29,1745,83.0,83.0,0.0,0.0,2,665.31,1.0,332.655,0,0,SISTEMATICO,2021-10-20 00:00:00.000000,83.0,1662,0.0,True,False,True,True,3,ROJO,1,0.625
551,Familia T1,11,2021-01-27,2025-11-21,169,175.9,142.0,142.8533863791825,0.812128404657092,44,11590.03,4.0,1053.639090909091,0,3,PUNTUAL,2026-05-15 21:36:00.000000,175.9,-7,-99.99996666667778,False,True,False,False,1,AMARILLO,3,0.3749999000000333
551,Familia T2,10,2021-01-27,2025-11-21,169,195.44444444444446,162.0,156.3316354642066,0.7998776118123135,34,14448.760000000002,3.4,1444.8760000000002,0,3,PUNTUAL,2026-06-04 10:40:00.000000,195.44444444444446,-26,-99.99996666667778,False,True,False,False,1,AMARILLO,3,0.3749999000000333
553,Familia T1,23,2021-02-23,2025-11-05,185,78.0,65.0,80.5752048484125,1.0330154467745192,37,20677.019999999997,1.608695652173913,899.0008695652173,0,0,PUNTUAL,2026-01-22 00:00:00.000000,78.0,107,0.0,True,False,False,False,1,AMARILLO,3,0.47500000000000003
553,Familia T2,4,2022-10-20,2024-09-06,610,229.0,219.0,135.72275662786498,0.5926757931347816,4,1687.1599999999999,1.0,421.78999999999996,0,0,PUNTUAL,2025-04-23 00:00:00.000000,229.0,381,0.0,True,False,True,True,3,ROJO,1,0.625
583,Familia T1,15,2021-02-11,2025-10-13,208,121.78571428571429,96.5,68.87584956326293,0.5655494978801648,39,11616.18,2.6,774.412,0,0,PUNTUAL,2026-02-11 18:51:25.714286,121.78571428571429,86,0.0,True,False,False,False,1,AMARILLO,3,0.3551628853984875
583,Familia T2,9,2021-09-03,2025-10-13,208,187.625,173.0,110.4920104577702,0.5888981236923129,12,5841.32,1.3333333333333333,649.0355555555556,0,0,PUNTUAL,2026-04-18 15:00:00.000000,187.625,21,0.0,False,False,False,False,0,AMARILLO,3,0.044532803180914515
631,Familia T1,4,2022-03-29,2023-07-04,1040,154.0,118.0,99.65273035229224,0.6470956516382613,5,1441.31,1.25,360.3275,0,0,PUNTUAL,2023-12-05 00:00:00.000000,154.0,886,0.0,True,False,True,True,3,ROJO,1,0.625
632,Familia T1,2,2024-03-12,2025-12-09,151,637.0,637.0,0.0,0.0,2,678.56,1.0,339.28,0,1,PUNTUAL,2027-09-07 00:00:00.000000,637.0,-486,-99.99990000010001,False,True,False,False,1,AMARILLO,3,0.37499970000030003
653,Familia T1,2,2021-11-12,2021-11-12,1639,0.0,0.0,0.0,0.0,2,1324.17,1.0,662.085,0,0,PUNTUAL,2021-11-12 00:00:00.000000,0.0,1639,0.0,True,False,True,True,3,ROJO,1,0.625
664,Familia T1,7,2021-01-29,2024-05-20,719,201.16666666666666,230.0,155.01335067951047,0.7705717515137224,20,10792.41,2.857142857142857,1541.7728571428572,0,0,PUNTUAL,2024-12-07 04:00:00.000000,201.16666666666666,518,0.0,True,False,True,True,3,ROJO,1,0.625
716,Familia T1,5,2021-04-19,2021-12-07,1614,58.0,72.0,34.583232931581165,0.5962626367513993,16,5769.59,3.2,1153.9180000000001,0,0,PUNTUAL,2022-02-03 00:00:00.000000,58.0,1556,0.0,True,False,True,True,3,ROJO,1,0.625
722,Familia T1,18,2021-09-27,2025-05-28,346,78.76470588235294,51.0,71.57269394839865,0.9086899157003563,31,12265.92,1.7222222222222223,681.44,0,0,PUNTUAL,2025-08-14 18:21:10.588235,78.76470588235294,267,0.0,True,False,True,True,3,ROJO,1,0.625
722,Familia T2,16,2021-02-16,2025-06-27,316,106.13333333333334,105.0,61.83080857379183,0.5825767139490435,22,10414.16,1.375,650.885,0,0,PUNTUAL,2025-10-11 03:12:00.000000,106.13333333333334,210,0.0,True,False,True,True,3,ROJO,1,0.625
728,Familia T1,10,2021-03-17,2025-11-12,178,189.0,167.0,207.4115608049743,1.0974156656347847,14,4445.56,1.4,444.55600000000004,0,1,PUNTUAL,2026-05-20 00:00:00.000000,189.0,-11,-99.99990000010001,False,True,False,False,1,AMARILLO,3,0.37499970000030003
728,Familia T2,4,2024-02-02,2025-11-12,178,216.33333333333334,167.0,107.85896140588207,0.4985776336173285,4,1901.4299999999998,1.0,475.35749999999996,0,1,PUNTUAL,2026-06-16 08:00:00.000000,216.33333333333334,-38,-99.99990000010001,False,True,False,False,1,AMARILLO,3,0.37499970000030003
732,Familia T1,13,2021-05-28,2025-12-02,158,137.41666666666666,119.0,57.10875346409009,0.41558826050277814,39,10915.55,3.0,839.6576923076923,0,2,PUNTUAL,2026-04-18 10:00:00.000000,137.41666666666666,21,-99.999950000025,False,True,False,False,1,AMARILLO,3,0.4356861835340906
761,Familia T1,6,2023-06-05,2025-12-01,159,182.0,179.0,62.035473722701596,0.34085425122363516,12,3396.54,2.0,566.09,0,1,PUNTUAL,2026-06-01 00:00:00.000000,182.0,-23,-99.99990000010001,False,True,False,False,1,AMARILLO,3,0.37499970000030003
761,Familia T2,8,2023-06-05,2025-12-02,158,130.14285714285714,143.0,101.29931401746096,0.7783701406391073,9,3934.2200000000003,1.125,491.77750000000003,0,2,PUNTUAL,2026-04-11 03:25:42.857143,130.14285714285714,28,-99.999950000025,False,True,False,False,1,AMARILLO,3,0.4604029001090074
764,Familia T1,4,2021-11-26,2025-09-24,227,466.0,250.0,404.69988880650806,0.8684546970096739,4,1119.32,1.0,279.83,0,0,PUNTUAL,2027-01-03 00:00:00.000000,466.0,-239,0.0,False,False,False,False,0,VERDE,4,0.0
778,Familia T1,2,2021-01-07,2022-09-27,1320,628.0,628.0,0.0,0.0,3,1537.63,1.5,768.815,0,0,PUNTUAL,2024-06-16 00:00:00.000000,628.0,692,0.0,True,False,True,True,3,ROJO,1,0.625
816,Familia T2,4,2021-02-10,2021-10-21,1661,84.33333333333333,15.0,105.20245033056767,1.2474598853426997,3,1158.48,0.75,289.62,0,0,PUNTUAL,2022-01-13 08:00:00.000000,84.33333333333333,1577,0.0,True,False,True,True,3,ROJO,1,0.625
878,Familia T1,8,2025-03-14,2025-12-22,138,40.42857142857143,43.0,17.49168898858739,0.43265661809226763,95,22544.2,11.875,2818.025,0,10,MIXTO,2026-01-31 10:17:08.571429,40.42857142857143,98,-99.999990000001,True,True,True,True,4,ROJO,1,0.99
932,Familia T1,2,2021-07-07,2021-07-07,1767,0.0,0.0,0.0,0.0,2,1089.58,1.0,544.79,0,0,PUNTUAL,2021-07-07 00:00:00.000000,0.0,1767,0.0,True,False,True,True,3,ROJO,1,0.625
946,Familia T1,3,2025-05-07,2025-09-26,225,71.0,71.0,20.0,0.28169014084507044,5,1544.51,1.6666666666666667,514.8366666666667,0,0,SISTEMATICO,2025-12-06 00:00:00.000000,71.0,154,0.0,True,False,True,True,3,ROJO,1,0.625
991,Familia T1,10,2021-03-02,2025-06-06,337,173.0,119.0,94.14409759040187,0.5441855352046351,27,7979.11,2.7,797.911,0,0,PUNTUAL,2025-11-26 00:00:00.000000,173.0,164,0.0,True,False,False,False,1,AMARILLO,3,0.45201149425287357
1005,Familia T1,16,2021-03-02,2024-01-23,837,70.46666666666667,72.0,48.02342021231817,0.6815054902410337,80,22890.07,5.0,1430.629375,0,0,PUNTUAL,2024-04-02 11:12:00.000000,70.46666666666667,767,0.0,True,False,True,True,3,ROJO,1,0.625
1005,Familia T2,13,2021-04-20,2025-06-03,340,125.41666666666667,94.5,135.76662472378433,1.0825245825152239,28,9495.140000000001,2.1538461538461537,730.3953846153847,0,0,PUNTUAL,2025-10-06 10:00:00.000000,125.41666666666667,215,0.0,True,False,True,False,2,ROJO,1,0.55
1156,Familia T1,2,2022-11-28,2024-06-06,702,556.0,556.0,0.0,0.0,2,1064.39,1.0,532.195,0,0,PUNTUAL,2025-12-14 00:00:00.000000,556.0,146,0.0,False,False,False,True,1,AMARILLO,3,0.17984739676840217
1299,Familia T1,3,2021-09-24,2022-06-09,1430,129.0,129.0,129.0,1.0,8,4813.59,2.6666666666666665,1604.53,0,0,PUNTUAL,2022-10-16 00:00:00.000000,129.0,1301,0.0,True,False,True,True,3,ROJO,1,0.625
1314,Familia T1,11,2021-02-11,2023-07-03,1041,87.2,57.0,83.05155025645217,0.952426035051057,55,15600.390000000001,5.0,1418.2172727272728,0,0,PUNTUAL,2023-09-28 04:48:00.000000,87.2,954,0.0,True,False,True,True,3,ROJO,1,0.625
1314,Familia T2,5,2021-02-11,2023-07-03,1041,218.0,139.0,244.96122142086082,1.1236753276186275,11,4923.459999999999,2.2,984.6919999999998,0,0,PUNTUAL,2024-02-06 00:00:00.000000,218.0,823,0.0,True,False,True,True,3,ROJO,1,0.625
1394,Familia T1,17,2021-11-04,2025-10-29,192,90.9375,76.0,59.45635873268729,0.6538156286755991,38,12196.08,2.235294117647059,717.4164705882353,0,0,PUNTUAL,2026-01-27 22:30:00.000000,90.9375,101,0.0,True,False,False,False,1,AMARILLO,3,0.47500000000000003
1394,Familia T2,17,2021-11-04,2025-10-29,192,90.9375,76.0,68.39085168171252,0.7520643483899658,36,14928.64,2.1176470588235294,878.155294117647,0,0,PUNTUAL,2026-01-27 22:30:00.000000,90.9375,101,0.0,True,False,False,False,1,AMARILLO,3,0.47500000000000003
1419,Familia T1,30,2021-06-21,2025-12-02,158,56.03448275862069,7.0,73.0165228153382,1.303064099473728,90,22590.58,3.0,753.0193333333334,0,7,PUNTUAL,2026-01-27 00:49:39.310345,56.03448275862069,102,-99.99998571428776,True,True,True,False,3,ROJO,1,0.9249999571428632
1430,Familia T1,53,2021-02-11,2025-10-17,204,32.86538461538461,28.0,23.632628069418253,0.7190735281508187,102,71887.02999999998,1.9245283018867925,1356.3590566037733,0,0,PUNTUAL,2025-11-18 20:46:09.230769,32.86538461538461,171,0.0,True,False,True,True,3,ROJO,1,0.625
1430,Familia T2,5,2021-09-28,2025-01-10,484,300.0,291.5,143.06117572563144,0.47687058575210484,20,5405.099999999999,4.0,1081.02,0,0,PUNTUAL,2025-11-06 00:00:00.000000,300.0,184,0.0,True,False,False,False,1,AMARILLO,3,0.31951827242524916
1433,Familia T1,4,2021-05-17,2023-02-07,1187,210.33333333333334,0.0,297.45625261914097,1.414213562373095,10,2195.05,2.5,548.7625,0,0,PUNTUAL,2023-09-05 08:00:00.000000,210.33333333333334,977,0.0,True,False,True,True,3,ROJO,1,0.625
1433,Familia T2,2,2023-02-07,2023-02-07,1187,0.0,0.0,0.0,0.0,2,648.03,1.0,324.015,0,0,PUNTUAL,2023-02-07 00:00:00.000000,0.0,1187,0.0,True,False,True,True,3,ROJO,1,0.625
1434,Familia T1,30,2021-01-07,2025-10-16,205,60.10344827586207,48.0,55.1664220884446,0.9178578545983324,60,19027.43,2.0,634.2476666666666,0,0,PUNTUAL,2025-12-15 02:28:57.931034,60.10344827586207,145,0.0,True,False,True,True,3,ROJO,1,0.625
1434,Familia T2,17,2021-01-07,2025-09-17,234,107.125,81.5,87.68186457301191,0.8185004860957937,37,14791.880000000001,2.176470588235294,870.1105882352941,0,0,PUNTUAL,2026-01-02 03:00:00.000000,107.125,127,0.0,True,False,False,False,1,AMARILLO,3,0.47500000000000003
1516,Familia T2,8,2021-06-09,2023-01-16,1209,83.71428571428571,67.0,71.76492236206107,0.8572601647345179,11,4550.68,1.375,568.835,0,0,PUNTUAL,2023-04-09 17:08:34.285714,83.71428571428571,1125,0.0,True,False,True,True,3,ROJO,1,0.625
1528,Familia T1,2,2021-01-22,2021-01-22,1933,0.0,0.0,0.0,0.0,4,2211.38,2.0,1105.69,0,0,PUNTUAL,2021-01-22 00:00:00.000000,0.0,1933,0.0,True,False,True,True,3,ROJO,1,0.625
1624,Familia T1,2,2021-05-25,2021-05-25,1810,0.0,0.0,0.0,0.0,2,934.03,1.0,467.015,0,0,PUNTUAL,2021-05-25 00:00:00.000000,0.0,1810,0.0,True,False,True,True,3,ROJO,1,0.625
1686,Familia T1,2,2021-05-24,2021-09-01,1711,100.0,100.0,0.0,0.0,4,1278.98,2.0,639.49,0,0,SISTEMATICO,2021-12-10 00:00:00.000000,100.0,1611,0.0,True,False,True,True,3,ROJO,1,0.625
1730,Familia T1,13,2021-12-22,2025-11-25,165,119.5,60.5,139.9711279752602,1.1713065102532234,26,13615.88,2.0,1047.3753846153845,0,6,PUNTUAL,2026-03-24 12:00:00.000000,119.5,46,-99.9999833333361,False,True,False,False,1,AMARILLO,3,0.527697045435693
1730,Familia T2,10,2021-12-22,2025-11-25,165,159.33333333333334,124.0,100.85633346498373,0.6329895405752117,37,16031.560000000001,3.7,1603.1560000000002,0,4,PUNTUAL,2026-05-03 08:00:00.000000,159.33333333333334,6,-99.99997500000624,False,True,False,False,1,AMARILLO,3,0.3899687399688337
1753,Familia T1,4,2021-04-09,2022-10-24,1293,187.66666666666666,173.0,37.392809766347085,0.19925120657023315,20,4255.96,5.0,1063.99,0,0,PUNTUAL,2023-04-29 16:00:00.000000,187.66666666666666,1105,0.0,True,False,True,True,3,ROJO,1,0.625
1753,Familia T2,2,2022-05-04,2022-10-24,1293,173.0,173.0,0.0,0.0,12,4589.62,6.0,2294.81,0,0,MIXTO,2023-04-15 00:00:00.000000,173.0,1120,0.0,True,False,True,True,3,ROJO,1,0.625
1778,Familia T1,9,2021-05-05,2025-11-04,186,205.5,183.0,95.72747776892484,0.4658271424278581,19,6131.7300000000005,2.111111111111111,681.3033333333334,0,0,PUNTUAL,2026-05-28 12:00:00.000000,205.5,-19,0.0,False,False,False,False,0,VERDE,4,0.0
1779,Familia T1,3,2021-09-07,2023-02-10,1184,260.5,260.5,104.5,0.40115163147792704,7,2161.45,2.3333333333333335,720.4833333333332,0,0,PUNTUAL,2023-10-28 12:00:00.000000,260.5,924,0.0,True,False,True,True,3,ROJO,1,0.625
1861,Familia T1,11,2021-02-12,2025-05-16,358,155.4,127.0,120.1816957776849,0.773369985699388,21,10078.32,1.9090909090909092,916.210909090909,0,0,PUNTUAL,2025-10-18 09:36:00.000000,155.4,203,0.0,True,False,True,False,2,ROJO,1,0.55
1954,Familia T1,2,2023-10-13,2025-02-26,437,502.0,502.0,0.0,0.0,8,3897.4700000000003,4.0,1948.7350000000001,0,0,PUNTUAL,2026-07-13 00:00:00.000000,502.0,-65,0.0,False,False,False,False,0,VERDE,4,0.0
1954,Familia T2,3,2023-10-13,2025-09-17,234,352.5,352.5,158.5,0.44964539007092197,11,5052.36,3.6666666666666665,1684.12,0,0,PUNTUAL,2026-09-04 12:00:00.000000,352.5,-118,0.0,False,False,False,False,0,VERDE,4,0.0
2114,Familia T1,22,2021-01-25,2025-11-18,172,83.71428571428571,69.0,69.29450116103342,0.827750013869,39,13429.720000000003,1.7727272727272727,610.4418181818183,0,2,PUNTUAL,2026-02-09 17:08:34.285714,83.71428571428571,88,-99.999950000025,True,True,False,False,2,NARANJA,2,0.849999850000075
2143,Familia T1,3,2021-06-14,2024-06-05,703,543.5,543.5,233.5,0.4296228150873965,12,3377.13,4.0,1125.71,0,0,PUNTUAL,2025-11-30 12:00:00.000000,543.5,160,0.0,False,False,False,False,0,AMARILLO,3,0.11753902662993572
2148,Familia T1,2,2023-06-07,2023-06-07,1067,0.0,0.0,0.0,0.0,4,1056.92,2.0,528.46,0,0,PUNTUAL,2023-06-07 00:00:00.000000,0.0,1067,0.0,True,False,True,True,3,ROJO,1,0.625
2148,Familia T2,13,2021-09-16,2024-09-12,604,91.0,28.5,146.04793733565702,1.6049223883039234,20,8372.21,1.5384615384615385,644.0161538461538,0,0,PUNTUAL,2024-12-12 00:00:00.000000,91.0,513,0.0,True,False,True,True,3,ROJO,1,0.625
2203,Familia T1,4,2021-02-24,2023-11-03,918,327.3333333333333,254.0,137.52413929521205,0.4201348450973892,10,3107.88,2.5,776.97,0,0,PUNTUAL,2024-09-25 08:00:00.000000,327.3333333333333,591,0.0,True,False,True,True,3,ROJO,1,0.625
2228,Familia T1,3,2021-04-26,2022-07-22,1387,226.0,226.0,181.0,0.8008849557522124,9,2378.9,3.0,792.9666666666667,0,0,PUNTUAL,2023-03-05 00:00:00.000000,226.0,1161,0.0,True,False,True,True,3,ROJO,1,0.625
2228,Familia T2,5,2021-04-26,2022-07-22,1387,113.0,22.5,170.732246514828,1.510904836414407,11,4528.379999999999,2.2,905.6759999999998,0,0,PUNTUAL,2022-11-12 00:00:00.000000,113.0,1274,0.0,True,False,True,True,3,ROJO,1,0.625
2235,Familia T1,39,2021-02-03,2025-12-23,137,46.94736842105263,0.0,60.48877554355852,1.288438044089251,174,69189.1,4.461538461538462,1774.0794871794874,0,15,PUNTUAL,2026-02-07 22:44:12.631579,46.94736842105263,90,-99.99999333333378,True,True,True,False,3,ROJO,1,0.9249999800000014
2235,Familia T2,11,2021-04-29,2025-01-10,484,135.2,119.5,143.2025139444137,1.0591901918965512,17,7777.19,1.5454545454545454,707.0172727272727,0,0,PUNTUAL,2025-05-25 04:48:00.000000,135.2,349,0.0,True,False,True,True,3,ROJO,1,0.625
